student_id,name,email,password,mobile_number,gender,isRegistered,general_rank,category_rank,category_id
1,Aarav Chowdhury,aaravchowdhury1@example.com,bX2Uc18k,9318769608,Male,FALSE,1,1,1
2,Aarav Iyer,aaraviyer2@yahoo.com,f8HYjbnu,7415499820,Male,FALSE,2,2,1
3,Aditya Joshi,adityajoshi3@example.com,wlq4fRHm,7346515751,Male,FALSE,3,3,1
4,Aditya Verma,adityaverma1@gmail.com,Dw86XizD,9477553208,Male,FALSE,4,1,11
5,Ankit Sharma,ankitsharma3@hotmail.com,YKMEL2xo,8260568250,Male,FALSE,5,5,1
6,Ankit Sharma,ankitsharma3@gmail.com,JSoDvNNV,9030937131,Male,FALSE,6,1,8
7,Isha Patel,ishapatel@gmail.com,BMZRQDqx,7283735980,Female,FALSE,7,1,2
8,Kavya Joshi,kavyajoshi4@example.com,0AGpQ82P,9294154072,Female,FALSE,8,2,8
9,Pooja Das,poojadas@example.com,aCpIuyrI,8899017134,Female,FALSE,9,2,2
10,Rahul Mukherjee,rahulmukherjee1@example.com,PLoohXYp,8716320576,Male,FALSE,10,10,1
11,Vivek Kumar,vivekkumar3@yahoo.com,3usH1As4,9485996680,Male,FALSE,11,11,1
12,Ravi Reddy,ravireddy1@gmail.com,GLVcPKpi,9408766054,Male,FALSE,12,12,1
13,Kunal Gupta,kunalgupta3@example.com,xXKUjFt5,8436356843,Male,FALSE,13,13,1
14,Deepak Patel,deepakpatel1@example.com,AUJBrHRF,9927587474,Male,FALSE,14,14,1
15,Rahul Kumar,rahulkumar1@hotmail.com,a6WCDZnX,9367404547,Male,FALSE,15,15,1
16,Neha Sharma,nehasharma@gmail.com,o3Sqg8r8,9747106048,Female,FALSE,16,16,1
17,Arjun Mukherjee,arjunmukherjee3@yahoo.com,mvQLW21U,7621909090,Male,FALSE,17,17,1
18,Sneha Mukherjee,snehamukherjee@hotmail.com,hBNIr75l,9900386996,Female,FALSE,18,18,1
